"""siteid""","""sitename""","""aqi""","""pm2.5_avg""","""pm10_avg""","""so2_avg""","""datacreationdate"""
49,仁武,62.54,19.88,52.54,1.5,2023-02-22
49,仁武,84.5,28.96,58.83,0.46,2023-02-23
49,仁武,102.5,35.92,65.08,0.58,2023-02-24
49,仁武,74.12,24.88,52.5,1.0,2023-02-25
49,仁武,67.5,21.96,51.75,1.0,2023-02-26
49,仁武,61.29,19.67,49.79,1.17,2023-02-27
49,仁武,90.96,31.75,63.46,1.0,2023-02-28
49,仁武,97.12,33.83,59.25,1.0,2023-03-01
49,仁武,113.04,40.0,78.79,1.71,2023-03-02
49,仁武,88.29,30.42,74.92,1.96,2023-03-03
49,仁武,88.96,30.88,63.38,1.0,2023-03-04
49,仁武,113.46,38.08,69.5,1.33,2023-03-05
49,仁武,89.96,29.33,63.42,2.0,2023-03-06
49,仁武,74.17,23.25,51.12,1.71,2023-03-07
49,仁武,63.0,19.46,47.58,1.67,2023-03-08
49,仁武,82.54,26.25,57.62,1.21,2023-03-09
49,仁武,119.0,38.92,66.5,1.67,2023-03-10
49,仁武,89.42,28.96,53.71,1.79,2023-03-11
49,仁武,70.29,22.54,41.46,1.0,2023-03-12
49,仁武,72.17,24.08,57.21,1.0,2023-03-13
49,仁武,70.67,22.92,55.58,1.0,2023-03-14
49,仁武,71.83,23.29,51.17,1.08,2023-03-15
49,仁武,84.0,28.54,55.79,1.25,2023-03-16
49,仁武,95.58,33.33,66.25,1.0,2023-03-17
49,仁武,72.92,24.25,49.5,1.0,2023-03-18
49,仁武,84.38,28.92,56.75,1.0,2023-03-19
49,仁武,78.88,26.71,58.0,1.0,2023-03-20
49,仁武,63.42,20.58,44.0,1.0,2023-03-21
49,仁武,48.96,15.33,33.54,1.0,2023-03-22
49,仁武,37.58,11.5,24.12,0.0,2023-03-23
49,仁武,77.67,26.29,44.29,0.79,2023-03-24
49,仁武,95.88,33.59,66.82,1.0,2023-03-25
49,仁武,61.0,19.58,36.04,0.46,2023-03-26
49,仁武,83.54,28.71,48.21,0.75,2023-03-27
49,仁武,94.92,33.12,59.71,1.0,2023-03-28
49,仁武,97.54,34.29,60.12,1.0,2023-03-29
49,仁武,81.0,27.67,51.33,1.0,2023-03-30
49,仁武,88.79,30.71,53.75,1.0,2023-03-31
50,鳳山,114.42,40.79,59.88,2.0,2023-01-01
50,鳳山,91.62,31.88,49.54,1.46,2023-01-02
50,鳳山,112.29,39.79,55.96,1.0,2023-01-03
50,鳳山,72.33,24.12,37.83,1.71,2023-01-04
50,鳳山,111.08,39.38,62.0,2.0,2023-01-05
50,鳳山,103.17,36.42,59.58,1.42,2023-01-06
50,鳳山,93.54,32.79,53.04,1.92,2023-01-07
50,鳳山,119.08,42.42,67.88,2.0,2023-01-08
50,鳳山,137.46,50.21,78.42,1.58,2023-01-09
50,鳳山,135.54,49.83,76.88,1.88,2023-01-10
50,鳳山,126.21,45.21,68.29,1.38,2023-01-11
50,鳳山,122.21,43.75,68.25,1.25,2023-01-12
50,鳳山,102.08,35.71,54.04,1.83,2023-01-13
50,鳳山,46.21,14.38,24.33,1.96,2023-01-14
50,鳳山,68.71,22.79,42.46,1.0,2023-01-15
50,鳳山,58.58,18.79,41.96,1.5,2023-01-16
50,鳳山,83.62,28.71,45.75,2.0,2023-01-17
50,鳳山,90.29,31.5,47.67,1.33,2023-01-18
50,鳳山,115.38,40.96,66.25,2.0,2023-01-19
50,鳳山,114.46,40.88,74.29,2.0,2023-01-20
50,鳳山,91.0,31.75,60.79,2.0,2023-01-21
50,鳳山,97.88,34.21,59.75,2.0,2023-01-22
50,鳳山,63.17,20.46,37.08,1.62,2023-01-23
50,鳳山,65.12,15.96,56.75,0.96,2023-01-24
50,鳳山,65.96,21.58,48.58,0.96,2023-01-25
50,鳳山,58.54,18.62,38.17,1.58,2023-01-26
50,鳳山,74.38,25.17,53.17,2.0,2023-01-27
50,鳳山,76.92,25.96,57.04,2.0,2023-01-28
50,鳳山,88.29,30.67,57.21,2.0,2023-01-29
50,鳳山,98.79,34.62,63.33,2.21,2023-01-30
50,鳳山,76.75,25.92,49.33,2.5,2023-01-31
50,鳳山,63.88,20.67,44.96,2.12,2023-02-01
50,鳳山,91.46,31.75,64.96,2.0,2023-02-02
50,鳳山,107.25,37.88,83.17,2.17,2023-02-03
50,鳳山,105.75,37.38,76.04,2.0,2023-02-04
50,鳳山,124.21,44.79,72.46,1.58,2023-02-05
50,鳳山,92.5,32.12,52.71,1.83,2023-02-06
50,鳳山,87.83,30.46,53.54,2.0,2023-02-07
50,鳳山,125.58,45.12,73.71,2.0,2023-02-08
50,鳳山,113.67,40.33,65.79,2.0,2023-02-09
50,鳳山,78.88,26.88,53.58,1.08,2023-02-10
50,鳳山,86.17,29.67,52.75,1.71,2023-02-11
50,鳳山,72.83,24.67,45.71,2.0,2023-02-12
50,鳳山,30.38,8.79,23.04,1.12,2023-02-13
50,鳳山,72.46,24.29,48.25,1.0,2023-02-14
50,鳳山,71.25,23.71,52.5,1.46,2023-02-15
50,鳳山,73.58,24.71,53.46,2.5,2023-02-16
50,鳳山,74.92,25.21,63.96,2.0,2023-02-17
50,鳳山,93.38,32.62,60.42,2.0,2023-02-18
50,鳳山,88.29,30.42,57.21,2.0,2023-02-19
50,鳳山,133.25,47.71,87.71,2.54,2023-02-20
50,鳳山,77.79,25.75,74.0,2.75,2023-02-21
50,鳳山,60.75,19.33,52.42,1.88,2023-02-22
50,鳳山,84.12,28.92,56.54,1.0,2023-02-23
50,鳳山,107.54,38.04,67.04,1.0,2023-02-24
50,鳳山,73.12,24.5,52.79,1.67,2023-02-25
50,鳳山,67.96,22.21,53.08,1.58,2023-02-26
50,鳳山,60.0,19.17,50.21,1.96,2023-02-27
50,鳳山,92.12,31.96,65.04,2.0,2023-02-28
50,鳳山,99.08,34.58,62.46,1.17,2023-03-01
50,鳳山,106.5,37.46,72.79,1.5,2023-03-02
50,鳳山,84.5,28.83,74.5,2.0,2023-03-03
50,鳳山,81.17,27.79,60.12,1.42,2023-03-04
50,鳳山,106.58,36.38,66.75,1.67,2023-03-05
50,鳳山,79.33,26.71,56.12,2.0,2023-03-06
50,鳳山,66.71,21.92,49.0,2.0,2023-03-07
50,鳳山,54.04,16.83,38.12,1.17,2023-03-08
50,鳳山,75.58,25.33,52.67,1.04,2023-03-09
50,鳳山,102.58,35.42,61.71,2.0,2023-03-10
50,鳳山,78.08,25.5,47.38,2.0,2023-03-11
50,鳳山,63.58,20.67,37.79,1.33,2023-03-12
50,鳳山,67.21,22.21,53.38,1.21,2023-03-13
50,鳳山,65.04,21.29,50.58,2.0,2023-03-14
50,鳳山,64.54,21.04,45.38,1.12,2023-03-15
50,鳳山,77.25,26.17,47.5,1.0,2023-03-16
50,鳳山,92.0,31.83,61.38,2.0,2023-03-17
50,鳳山,68.04,22.46,45.67,1.21,2023-03-18
50,鳳山,86.92,29.96,55.5,1.71,2023-03-19
50,鳳山,74.92,25.25,51.62,1.79,2023-03-20
50,鳳山,65.17,21.21,38.17,2.0,2023-03-21
50,鳳山,52.12,16.54,26.92,1.5,2023-03-22
